"","year","country","country_code","CO2","GDP","POP","CO2pc","GDPpc","CO2pcdev","GDPpcdev","CO2pcln","GDPpcln"
"1","Afghanistan",2010,"YR2010",8463.436,15936800636,28803167,293.836993688923,0.000553300289374429,-0.00456848966227261,-13418.0025805622,-8.13248538762103,6.31590087290127
"2","Albania",2010,"YR2010",4598.418,11926953259,2913021,1578.57358391855,0.004094358831948,-0.00328375307204298,-9876.94403798865,-6.45123363469635,8.31736541063341
"3","Algeria",2010,"YR2010",119177.5,1.61207e+11,36117637,3299.70368770249,0.00446338723654596,-0.00156262296825904,-9507.91563339069,-5.71392260614652,8.40366322684022
"4","Andorra",2010,"YR2010",517.047,3355695364,84449,6122.59470212791,0.0397363540598468,0.00126026804616638,25765.0511899101,-5.09576930137225,10.5900217670517
"5","Angola",2010,"YR2010",29057.308,82470913121,23369131,1243.40558491456,0.00352905348174906,-0.00361892107104697,-10442.2493881876,-6.68990122449158,8.16878497849074
"6","Antigua and Barbuda",2010,"YR2010",524.381,1152469074,94661,5539.56750932274,0.0121746978586746,0.000677240853361212,-1796.60501126201,-5.19583884817958,9.40711513110689
"7","Argentina",2010,"YR2010",187919.082,4.23627e+11,41223889,4558.49961171786,0.0102762502586789,-0.000303827044243673,-3695.05261125776,-5.39076174211693,9.23759071163884
"8","Armenia",2010,"YR2010",4217.05,9260284938,2877311,1465.62189488727,0.00321838165495492,-0.00339670476107425,-10752.9212149817,-6.52547562495889,8.07663392056804
"9","Aruba",2010,"YR2010",2508.228,2467703911,101669,24670.5288731078,0.0242719404243181,0.0198082022171463,10300.6375543815,-3.70214591076601,10.0970762470829
"10","Australia",2010,"YR2010",390861.863,1.14288e+12,22031750,17740.8450531619,0.0518742269678986,0.0128785183972004,37902.9240979619,-4.03188566776951,10.8565773555983
"11","Austria",2010,"YR2010",67502.136,3.91893e+11,8363404,8071.13180231399,0.0468580735786529,0.00320880514635246,32886.7707087163,-4.81946155841591,10.7548786010728
"12","Azerbaijan",2010,"YR2010",30678.122,52902703376,9054332,3388.22587905988,0.00584280578357409,-0.00147410077690165,-8128.49708636255,-5.68744883409006,8.6729664028396
"13","Bahamas, The",2010,"YR2010",1653.817,7.91e+09,360832,4583.3434950337,0.0219215590634977,-0.000278983160927829,7950.25619356104,-5.38532652644186,9.99522586369224
"14","Bahrain",2010,"YR2010",29266.327,25713271277,1240862,23585.4808995682,0.0207221038898766,0.0187231542436067,6750.80101993991,-3.74712397239366,9.93895623030538
"15","Bangladesh",2010,"YR2010",59937.115,1.15279e+11,152149102,393.936699015154,0.000757671248036679,-0.00446838995694638,-13213.6316219,-7.83932032397201,6.63024958184897
"16","Barbados",2010,"YR2010",1477.801,4461650000,279569,5285.99737453008,0.0159590297922874,0.000423670718568551,1987.72692235076,-5.24269395948384,9.67778007919909
"17","Belarus",2010,"YR2010",63043.064,57222490769,9490583,6642.69666046859,0.0060293967998594,0.00178037000450706,-7941.90607007725,-5.0142372743751,8.70440225152676
"18","Belgium",2010,"YR2010",110824.074,4.83548e+11,10895586,10171.4652153634,0.0443801737694512,0.00530913855940183,30408.8708995146,-4.58816900699197,10.700548111969
"19","Belize",2010,"YR2010",539.049,1397113450,321608,1676.10569388821,0.00434415017661252,-0.00318622096207332,-9627.15269332413,-6.39128221573152,8.3765854320596
"20","Benin",2010,"YR2010",5089.796,6970240895,9199259,553.283259010318,0.000757695907355147,-0.00430904339695121,-13213.6069625815,-7.49964046514127,6.63028212751736
"21","Bermuda",2010,"YR2010",608.722,5744414000,65124,9347.12241262822,0.0882073275597322,0.00448479575666669,74236.0246897956,-4.67268674640567,11.3874453174525
