Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],GDP (constant 2010 US$) [NY.GDP.MKTP.KD],"Population, total [SP.POP.TOTL]"
2010,YR2010,Afghanistan,AFG,8463.436,15936800636.2487,28803167
2010,YR2010,Albania,ALB,4598.418,11926953258.916,2913021
2010,YR2010,Algeria,DZA,119177.5,161207268655.392,36117637
2010,YR2010,American Samoa,ASM,..,576000000,55637
2010,YR2010,Andorra,AND,517.047,3355695364.23841,84449
2010,YR2010,Angola,AGO,29057.308,82470913120.7314,23369131
2010,YR2010,Antigua and Barbuda,ATG,524.381,1152469074.07407,94661
2010,YR2010,Argentina,ARG,187919.082,423627422092.49,41223889
2010,YR2010,Armenia,ARM,4217.05,9260284937.79782,2877311
2010,YR2010,Aruba,ABW,2508.228,2467703910.61453,101669
2010,YR2010,Australia,AUS,390861.863,1142876772659.21,22031750
2010,YR2010,Austria,AUT,67502.136,391892746544.69,8363404
2010,YR2010,Azerbaijan,AZE,30678.122,52902703376.1056,9054332
2010,YR2010,"Bahamas, The",BHS,1653.817,7910000000,360832
2010,YR2010,Bahrain,BHR,29266.327,25713271276.5957,1240862
2010,YR2010,Bangladesh,BGD,59937.115,115279077465.226,152149102
2010,YR2010,Barbados,BRB,1477.801,4461650000,279569
2010,YR2010,Belarus,BLR,63043.064,57222490768.7143,9490583
2010,YR2010,Belgium,BEL,110824.074,483548031197.108,10895586
2010,YR2010,Belize,BLZ,539.049,1397113450,321608
2010,YR2010,Benin,BEN,5089.796,6970240895.49888,9199259
2010,YR2010,Bermuda,BMU,608.722,5744414000,65124
2010,YR2010,Bhutan,BTN,487.711,1585472534.10547,727641
2010,YR2010,Bolivia,BOL,15203.382,19649631308.1648,9918242
2010,YR2010,Bosnia and Herzegovina,BIH,21275.934,17176781336.7644,3722084
2010,YR2010,Botswana,BWA,4686.426,12786654365.8738,2014866
2010,YR2010,Brazil,BRA,419754.156,2208871646202.82,196796269
2010,YR2010,British Virgin Islands,VGB,172.349,..,27224
2010,YR2010,Brunei Darussalam,BRN,8203.079,13707370737.0737,388662
2010,YR2010,Bulgaria,BGR,44114.01,50610031135.7791,7395599
2010,YR2010,Burkina Faso,BFA,1961.845,8979966766.07232,15605217
2010,YR2010,Burundi,BDI,212.686,2026864469.36388,8766930
2010,YR2010,Cabo Verde,CPV,557.384,1664310769.55229,502384
2010,YR2010,Cambodia,KHM,5012.789,11242275198.9783,14308740
2010,YR2010,Cameroon,CMR,6780.283,26143818509.6421,19970495
2010,YR2010,Canada,CAN,534670.602,1613464422811.13,34005274
2010,YR2010,Cayman Islands,CYM,557.384,..,55507
2010,YR2010,Central African Republic,CAF,264.024,1986014845.63184,4448525
2010,YR2010,Chad,TCD,517.047,10657705536.4978,11887202
2010,YR2010,Channel Islands,CHI,..,..,159581
2010,YR2010,Chile,CHL,72250.901,218537551220.071,16993354
2010,YR2010,China,CHN,8776040.416,6100620488867.55,1337705000
2010,YR2010,Colombia,COL,76174.591,287018179193.923,45918097
2010,YR2010,Comoros,COM,161.348,530493353.218937,689692
2010,YR2010,"Congo, Dem. Rep.",COD,2020.517,20523285374.187,64523263
2010,YR2010,"Congo, Rep.",COG,1980.18,12007880438.6232,4386693
2010,YR2010,Costa Rica,CRI,7568.688,37268635287.0856,4545280
2010,YR2010,Cote d'Ivoire,CIV,6967.3,24884505034.5564,20401331
2010,YR2010,Croatia,HRV,20172.167,59665427464.5326,4417781
2010,YR2010,Cuba,CUB,38375.155,64328000000,11333051
2010,YR2010,Curacao,CUW,..,..,148703
2010,YR2010,Cyprus,CYP,7708.034,25562251655.6291,1112607
2010,YR2010,Czech Republic,CZE,111579.476,207477857918.919,10474410
2010,YR2010,Denmark,DNK,46640.573,321995350346.501,5547683
2010,YR2010,Djibouti,DJI,517.047,1128611700.3618,851146
2010,YR2010,Dominica,DMA,139.346,493824407.407407,71440
2010,YR2010,Dominican Republic,DOM,21022.911,53954579003.5277,9897985
